send_time_ns,exit_time_ns,sender_to_A_s,service_time_A_s,A_to_B_s,service_time_B_s,B_to_sink_s,end_to_end_s,threads_A,threads_B,lambda,queue_len_A,queue_len_B
12452466416592984,12452466490244993,0.0201642,0.020066,0.0533784,0.0500694,0.000109454,0.073652,13,30,516.894,1,2
12452466435672722,12452466516169862,0.0201959,0.0200709,0.052585,0.0500657,0.00771617,0.0804971,13,30,476.097,1,2
12452466439750819,12452466516188166,0.0201919,0.0200665,0.0506232,0.0500714,0.00562223,0.0764373,13,30,476.097,1,2
12452466443829518,12452466546515110,0.0201856,0.0200642,0.0597955,0.0500692,0.0227046,0.102686,13,30,379.805,1,2
12452466444905611,12452466546531871,0.0202225,0.0200711,0.0586986,0.0500653,0.0227051,0.101626,13,30,379.805,1,2
12452466451979913,12452466546541149,0.0202454,0.0200651,0.0516266,0.0500693,0.0226893,0.0945612,13,30,379.805,1,2
12452466453059602,12452466546549575,0.0201483,0.020063,0.0508098,0.0500829,0.0225319,0.09349,13,30,379.805,1,2
12452466458135426,12452466546560375,0.0201538,0.0200664,0.0616561,0.0500711,0.00661507,0.0884249,13,30,379.805,1,2
12452466459212410,12452466546577266,0.0201507,0.0200622,0.0606131,0.0500633,0.00660104,0.0873649,13,30,379.805,1,2
12452466460288463,12452466546590010,0.0201462,0.020061,0.0596619,0.0500662,0.0064935,0.0863015,13,30,379.805,1,2
12452466461366078,12452466546599037,0.0201466,0.0200618,0.0587225,0.050065,0.00636385,0.085233,13,30,379.805,1,2
12452466462442041,12452466546614987,0.0201541,0.0200657,0.0576912,0.0500665,0.00632763,0.0841729,13,30,379.805,1,2
12452466473519580,12452466574727859,0.0201604,0.0200707,0.0543202,0.0500653,0.0267277,0.101208,13,30,333.862,1,2
12452466489604435,12452466574745572,0.0201804,0.0200631,0.0563641,0.0500648,0.00859657,0.0851411,13,30,333.862,1,2
12452466497684818,12452466574754519,0.0201906,0.020068,0.0553809,0.0500681,0.0014982,0.0770697,13,30,333.862,1,2
12452466498762885,12452466574764918,0.0201581,0.0200627,0.0543829,0.0500691,0.00146108,0.076002,13,30,333.862,1,2
